Accession	Description	Organism	Length
A0A673UFH3	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	1260
A0A7J7RT00	BICD cargo adaptor 2 OS=Pipistrellus kuhlii OX=59472 GN=mPipKuh1_001454 PE=3 SV=1	Pipistrellus kuhlii	801
A0A7J7RSZ1	BICD cargo adaptor 2 OS=Pipistrellus kuhlii OX=59472 GN=mPipKuh1_001454 PE=3 SV=1	Pipistrellus kuhlii	832
A0A6J2NA55	Protein bicaudal D homolog 2 isoform X5 OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	801
A0A7E6D5K6	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1164
A0A7E6D4Z3	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1086
A0A7E6D7Q1	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1264
A0A3Q0DPP9	Protein bicaudal D homolog 2 OS=Carlito syrichta OX=1868482 GN=BICD2 PE=3 SV=1	Carlito syrichta	880
F7DPZ1	BICD cargo adaptor 2 OS=Equus caballus OX=9796 GN=BICD2 PE=3 SV=3	Equus caballus	786
D3Z390	BICD cargo adaptor 2 OS=Mus musculus OX=10090 GN=Bicd2 PE=1 SV=2	Mus musculus	746
A0A7N4PV29	BICD cargo adaptor 2 OS=Sarcophilus harrisii OX=9305 GN=BICD2 PE=3 SV=1	Sarcophilus harrisii	848
A0A4X2L4E7	BICD cargo adaptor 2 OS=Vombatus ursinus OX=29139 GN=BICD2 PE=3 SV=1	Vombatus ursinus	818
G3HP33	Protein bicaudal D-like 2 OS=Cricetulus griseus OX=10029 GN=I79_012537 PE=3 SV=1	Cricetulus griseus	783
A0A6P5IN14	LOW QUALITY PROTEIN: protein bicaudal D homolog 2-like OS=Phascolarctos cinereus OX=38626 GN=LOC110192921 PE=3 SV=1	Phascolarctos cinereus	817
A0A091CUH6	Protein bicaudal D like protein 2 OS=Fukomys damarensis OX=885580 GN=H920_16436 PE=3 SV=1	Fukomys damarensis	868
G5BQK3	Bicaudal D-like protein 2 OS=Heterocephalus glaber OX=10181 GN=GW7_11601 PE=3 SV=1	Heterocephalus glaber	798
F6PIY7	BICD cargo adaptor 2 OS=Monodelphis domestica OX=13616 GN=BICD2 PE=3 SV=2	Monodelphis domestica	818
G3WYI6	BICD cargo adaptor 2 OS=Sarcophilus harrisii OX=9305 GN=BICD2 PE=3 SV=2	Sarcophilus harrisii	846
F6X7P3	BICD cargo adaptor 2 OS=Ornithorhynchus anatinus OX=9258 GN=BICD2 PE=3 SV=2	Ornithorhynchus anatinus	816
A0A1A6FV85	BICD cargo adaptor 2 OS=Neotoma lepida OX=56216 GN=A6R68_10999 PE=3 SV=1	Neotoma lepida	813
A0A8C8RKW2	BICD cargo adaptor 2 OS=Pelusios castaneus OX=367368 PE=3 SV=1	Pelusios castaneus	815
A0A151MZ17	Bicaudal D-like protein 1 OS=Alligator mississippiensis OX=8496 GN=BICD1 PE=3 SV=1	Alligator mississippiensis	815
A0A663EVD8	BICD cargo adaptor 2 OS=Aquila chrysaetos chrysaetos OX=223781 GN=BICD2 PE=3 SV=1	Aquila chrysaetos chrysaetos	815
A0A8C3ST17	BICD cargo adaptor 2 OS=Chelydra serpentina OX=8475 PE=3 SV=1	Chelydra serpentina	815
A0A8C3N4C7	Uncharacterized protein OS=Geospiza parvula OX=87175 GN=BICD2 PE=3 SV=1	Geospiza parvula	815
A0A8K1G1I3	BICD2 protein OS=Zosterops borbonicus OX=364589 GN=HGM15179_017107 PE=3 SV=1	Zosterops borbonicus	814
A0A7L1K652	BICD2 protein (Fragment) OS=Rynchops niger OX=227184 GN=Bicd2 PE=3 SV=1	Rynchops niger	845
A0A8C4YAE6	BICD cargo adaptor 2 OS=Gopherus evgoodei OX=1825980 GN=BICD2 PE=3 SV=1	Gopherus evgoodei	815
A0A674JIK0	BICD cargo adaptor 2 OS=Terrapene carolina triunguis OX=2587831 GN=BICD2 PE=3 SV=1	Terrapene carolina triunguis	815
A0A8C3RIT1	BICD cargo adaptor 2 OS=Cyanoderma ruficeps OX=181631 PE=3 SV=1	Cyanoderma ruficeps	815
A0A8C3IEZ0	BICD cargo adaptor 2 OS=Chrysemys picta bellii OX=8478 GN=BICD2 PE=3 SV=1	Chrysemys picta bellii	815
A0A9D3WUX9	BICD2 protein OS=Mauremys mutica OX=74926 GN=KIL84_002773 PE=3 SV=1	Mauremys mutica	844
A0A6J3DLI3	Protein bicaudal D homolog 2 isoform X3 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	821
A0A4D9EYK1	Guanylyl cyclase-activating protein 3 OS=Platysternon megacephalum OX=55544 GN=DR999_PMT04614 PE=3 SV=1	Platysternon megacephalum	844
A0A8C3U321	BICD cargo adaptor 2 OS=Catharus ustulatus OX=91951 PE=3 SV=1	Catharus ustulatus	845
A0A1V4JVR6	Bicaudal D-like protein 2 OS=Patagioenas fasciata monilis OX=372326 GN=BICD2 PE=3 SV=1	Patagioenas fasciata monilis	815
A0A7K8Z9X9	BICD2 protein (Fragment) OS=Sakesphorus luctuosus OX=419690 GN=Bicd2 PE=3 SV=1	Sakesphorus luctuosus	852
A0A6J3DL13	Protein bicaudal D homolog 2 isoform X2 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	835
A0A8C3IC08	BICD cargo adaptor 2 OS=Chrysemys picta bellii OX=8478 GN=BICD2 PE=3 SV=1	Chrysemys picta bellii	903
A0A6J3DJF5	Protein bicaudal D homolog 2 isoform X1 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	851
A0A7K6SQU3	BICD2 protein (Fragment) OS=Caloenas nicobarica OX=187106 GN=Bicd2 PE=3 SV=1	Caloenas nicobarica	845
A0A7M4G3N9	BICD cargo adaptor 2 OS=Crocodylus porosus OX=8502 GN=BICD2 PE=3 SV=1	Crocodylus porosus	815
A0A7K8ZD24	BICD2 protein (Fragment) OS=Grallaria varia OX=117165 GN=Bicd2 PE=3 SV=1	Grallaria varia	852
A0A2I0U2J5	BICD2 protein OS=Limosa lapponica baueri OX=1758121 GN=llap_9446 PE=3 SV=1	Limosa lapponica baueri	845
A0A6J0IIG9	Protein bicaudal D homolog 2 isoform X2 OS=Lepidothrix coronata OX=321398 GN=BICD2 PE=3 SV=1	Lepidothrix coronata	815
K7F5V1	BICD cargo adaptor 2 OS=Pelodiscus sinensis OX=13735 GN=BICD2 PE=3 SV=1	Pelodiscus sinensis	877
A0A8D0G2S9	BICD cargo adaptor 2 OS=Strix occidentalis caurina OX=311401 PE=3 SV=1	Strix occidentalis caurina	845
A0A6J0IIJ8	Protein bicaudal D homolog 2 isoform X1 OS=Lepidothrix coronata OX=321398 GN=BICD2 PE=3 SV=1	Lepidothrix coronata	825
A0A8B9VMK2	BICD cargo adaptor 2 OS=Anas zonorhyncha OX=75864 PE=3 SV=1	Anas zonorhyncha	821
A0A8C3D119	BICD cargo adaptor 2 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	Cairina moschata domestica	821
A0A7M4FQT5	BICD cargo adaptor 2 OS=Crocodylus porosus OX=8502 GN=BICD2 PE=3 SV=1	Crocodylus porosus	845
A0A6J0UFQ7	Protein bicaudal D homolog 2 isoform X2 OS=Pogona vitticeps OX=103695 GN=BICD2 PE=3 SV=1	Pogona vitticeps	814
A0A8C0IWM8	BICD cargo adaptor 2 OS=Chelonoidis abingdonii OX=106734 GN=BICD2 PE=3 SV=1	Chelonoidis abingdonii	844
A0A672U0S3	BICD cargo adaptor 2 OS=Strigops habroptila OX=2489341 GN=BICD2 PE=3 SV=1	Strigops habroptila	845
A0A8C3J436	BICD cargo adaptor 2 OS=Calidris pygmaea OX=425635 PE=3 SV=1	Calidris pygmaea	815
A0A8B9VNX5	BICD cargo adaptor 2 OS=Anas zonorhyncha OX=75864 PE=3 SV=1	Anas zonorhyncha	835
A0A8C3D6V2	BICD cargo adaptor 2 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	Cairina moschata domestica	835
A0A8B9Q621	BICD cargo adaptor 2 OS=Apteryx owenii OX=8824 PE=3 SV=1	Apteryx owenii	815
A0A8B9BMN7	BICD cargo adaptor 2 OS=Anser brachyrhynchus OX=132585 GN=BICD2 PE=3 SV=1	Anser brachyrhynchus	822
U3J6N0	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=2	Anas platyrhynchos platyrhynchos	851
A0A8C3D227	BICD cargo adaptor 2 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	Cairina moschata domestica	851
A0A803VM33	BICD cargo adaptor 2 OS=Ficedula albicollis OX=59894 GN=BICD2 PE=3 SV=1	Ficedula albicollis	815
A0A6J0UH69	Protein bicaudal D homolog 2 isoform X1 OS=Pogona vitticeps OX=103695 GN=BICD2 PE=3 SV=1	Pogona vitticeps	844
A0A8C5IE76	BICD cargo adaptor 2 OS=Junco hyemalis OX=40217 PE=3 SV=1	Junco hyemalis	815
A0A8B9E2M7	BICD cargo adaptor 2 OS=Anser cygnoides OX=8845 PE=3 SV=1	Anser cygnoides	836
A0A8B9BLX6	BICD cargo adaptor 2 OS=Anser brachyrhynchus OX=132585 GN=BICD2 PE=3 SV=1	Anser brachyrhynchus	836
A0A669P177	BICD cargo adaptor 2 OS=Phasianus colchicus OX=9054 PE=3 SV=1	Phasianus colchicus	815
A0A8C9N7H8	BICD cargo adaptor 2 OS=Serinus canaria OX=9135 GN=BICD2 PE=3 SV=1	Serinus canaria	815
A0A8C4UZM6	BICD cargo adaptor 2 OS=Falco tinnunculus OX=100819 PE=3 SV=1	Falco tinnunculus	815
A0A8C5TDD0	BICD cargo adaptor 2 OS=Malurus cyaneus samueli OX=2593467 PE=3 SV=1	Malurus cyaneus samueli	845
A0A674H6H7	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	815
A0A674GR64	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	816
H0YZD6	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=2	Taeniopygia guttata	828
A0A7K8XDJ3	BICD2 protein (Fragment) OS=Eubucco bourcierii OX=91767 GN=Bicd2 PE=3 SV=1	Eubucco bourcierii	845
U3JX64	Uncharacterized protein OS=Ficedula albicollis OX=59894 GN=BICD2 PE=3 SV=2	Ficedula albicollis	829
A0A4U1EM66	BICD cargo adaptor 2 OS=Monodon monoceros OX=40151 GN=EI555_011592 PE=3 SV=1	Monodon monoceros	943
A0A8C6ZAT1	BICD cargo adaptor 2 OS=Nothoprocta perdicaria OX=30464 GN=BICD2 PE=3 SV=1	Nothoprocta perdicaria	845
A0A7K6A0L3	BICD2 protein (Fragment) OS=Onychorhynchus coronatus OX=360224 GN=Bicd2 PE=3 SV=1	Onychorhynchus coronatus	854
A0A7L4J7P1	BICD2 protein (Fragment) OS=Pomatorhinus ruficollis OX=932028 GN=Bicd2 PE=3 SV=1	Pomatorhinus ruficollis	852
A0A7L4H7X7	BICD2 protein (Fragment) OS=Podargus strigoides OX=8905 GN=Bicd2 PE=3 SV=1	Podargus strigoides	845
A0A669P294	BICD cargo adaptor 2 OS=Phasianus colchicus OX=9054 PE=3 SV=1	Phasianus colchicus	845
A0A8C9NA65	BICD cargo adaptor 2 OS=Serinus canaria OX=9135 GN=BICD2 PE=3 SV=1	Serinus canaria	845
A0A7K7KV27	BICD2 protein (Fragment) OS=Asarcornis scutulata OX=75869 GN=Bicd2 PE=3 SV=1	Asarcornis scutulata	847
A0A8C4XT49	BICD cargo adaptor 2 OS=Falco tinnunculus OX=100819 PE=3 SV=1	Falco tinnunculus	845
A0A8C9F6U5	BICD2 protein OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	845
A0A670HM11	BICD cargo adaptor 2 OS=Podarcis muralis OX=64176 GN=BICD2 PE=3 SV=1	Podarcis muralis	815
A0A669P4L6	BICD cargo adaptor 2 OS=Phasianus colchicus OX=9054 PE=3 SV=1	Phasianus colchicus	837
A0A218UH06	Protein bicaudal D 2 OS=Lonchura striata domestica OX=299123 GN=BICD2 PE=3 SV=1	Lonchura striata domestica	815
A0A7K6MEE3	BICD2 protein (Fragment) OS=Panurus biarmicus OX=181101 GN=Bicd2 PE=3 SV=1	Panurus biarmicus	859
A0A7K9QFT7	BICD2 protein (Fragment) OS=Irena cyanogastra OX=175120 GN=Bicd2 PE=3 SV=1	Irena cyanogastra	849
A0A7K4WUJ7	BICD2 protein (Fragment) OS=Tachuris rubrigastra OX=495162 GN=Bicd2 PE=3 SV=1	Tachuris rubrigastra	853
A0A7L0ZJL3	BICD2 protein (Fragment) OS=Oxyruncus cristatus OX=114331 GN=Bicd2 PE=3 SV=1	Oxyruncus cristatus	852
A0A852CXI2	BICD2 protein (Fragment) OS=Passerina amoena OX=142471 GN=Bicd2 PE=3 SV=1	Passerina amoena	853
A0A851KUE2	BICD2 protein (Fragment) OS=Vidua chalybeata OX=81927 GN=Bicd2 PE=3 SV=1	Vidua chalybeata	853
A0A850YKB1	BICD2 protein (Fragment) OS=Aegithalos caudatus OX=73327 GN=Bicd2 PE=3 SV=1	Aegithalos caudatus	853
A0A670HPE4	BICD cargo adaptor 2 OS=Podarcis muralis OX=64176 GN=BICD2 PE=3 SV=1	Podarcis muralis	845
A0A7L2LKQ8	BICD2 protein (Fragment) OS=Hippolais icterina OX=68497 GN=Bicd2 PE=3 SV=1	Hippolais icterina	854
E1C2N3	BICD cargo adaptor 2 OS=Gallus gallus OX=9031 GN=BICD2 PE=1 SV=4	Gallus gallus	829
A0A7L2ADZ8	BICD2 protein (Fragment) OS=Heliornis fulica OX=54369 GN=Bicd2 PE=3 SV=1	Heliornis fulica	852
A0A7K5BAV4	BICD2 protein (Fragment) OS=Furnarius figulus OX=463165 GN=Bicd2 PE=3 SV=1	Furnarius figulus	861
A0A7K7SUE5	BICD2 protein (Fragment) OS=Sapayoa aenigma OX=239371 GN=Bicd2 PE=3 SV=1	Sapayoa aenigma	852
A0A7L1PWC6	BICD2 protein (Fragment) OS=Oriolus oriolus OX=181099 GN=Bicd2 PE=3 SV=1	Oriolus oriolus	846
A0A7K9SHM2	BICD2 protein (Fragment) OS=Galbula dea OX=1109041 GN=Bicd2 PE=3 SV=1	Galbula dea	847
A0A852KMN6	BICD2 protein (Fragment) OS=Urocolius indicus OX=458196 GN=Bicd2 PE=3 SV=1	Urocolius indicus	846
A0A852A9R3	BICD2 protein (Fragment) OS=Calcarius ornatus OX=198940 GN=Bicd2 PE=3 SV=1	Calcarius ornatus	853
A0A7K5KYZ8	BICD2 protein (Fragment) OS=Vireo altiloquus OX=34956 GN=Bicd2 PE=3 SV=1	Vireo altiloquus	846
A0A7L0J9S1	BICD2 protein (Fragment) OS=Piprites chloris OX=114369 GN=Bicd2 PE=3 SV=1	Piprites chloris	852
A0A850WZR5	BICD2 protein (Fragment) OS=Piaya cayana OX=33601 GN=Bicd2 PE=3 SV=1	Piaya cayana	845
A0A8C2TLV2	BICD cargo adaptor 2 OS=Coturnix japonica OX=93934 GN=BICD2 PE=3 SV=1	Coturnix japonica	815
A0A7K9P6S7	BICD2 protein (Fragment) OS=Pachycephala philippinensis OX=449367 GN=Bicd2 PE=3 SV=1	Pachycephala philippinensis	846
A0A7K5BTR8	BICD2 protein (Fragment) OS=Motacilla alba OX=45807 GN=Bicd2 PE=3 SV=1	Motacilla alba	858
A0A7L2ZTI8	BICD2 protein (Fragment) OS=Prunella fulvescens OX=670355 GN=Bicd2 PE=3 SV=1	Prunella fulvescens	853
A0A7L4FPG2	BICD2 protein (Fragment) OS=Alopecoenas beccarii OX=262131 GN=Bicd2 PE=3 SV=1	Alopecoenas beccarii	851
A0A7L0N5G3	BICD2 protein (Fragment) OS=Formicarius rufipectus OX=1118560 GN=Bicd2 PE=3 SV=1	Formicarius rufipectus	852
A0A7L4A718	BICD2 protein (Fragment) OS=Circaetus pectoralis OX=321084 GN=Bicd2 PE=3 SV=1	Circaetus pectoralis	862
A0A7K9YGV0	BICD2 protein (Fragment) OS=Odontophorus gujanensis OX=886794 GN=Bicd2 PE=3 SV=1	Odontophorus gujanensis	845
A0A7K9NWH1	BICD2 protein (Fragment) OS=Edolisoma coerulescens OX=2585810 GN=Bicd2 PE=3 SV=1	Edolisoma coerulescens	846
A0A7L2KC79	BICD2 protein (Fragment) OS=Zosterops hypoxanthus OX=2485327 GN=Bicd2 PE=3 SV=1	Zosterops hypoxanthus	846
A0A7L4KIE7	BICD2 protein (Fragment) OS=Callaeas wilsoni OX=1347786 GN=Bicd2 PE=3 SV=1	Callaeas wilsoni	846
A0A7L3AG08	BICD2 protein (Fragment) OS=Syrrhaptes paradoxus OX=302527 GN=Bicd2 PE=3 SV=1	Syrrhaptes paradoxus	861
A0A7K9J781	BICD2 protein (Fragment) OS=Myiagra hebetior OX=381031 GN=Bicd2 PE=3 SV=1	Myiagra hebetior	846
A0A7L2I9G9	BICD2 protein (Fragment) OS=Semnornis frantzii OX=91796 GN=Bicd2 PE=3 SV=1	Semnornis frantzii	856
A0A7K5K5X9	BICD2 protein (Fragment) OS=Mionectes macconnelli OX=254557 GN=Bicd2 PE=3 SV=1	Mionectes macconnelli	852
A0A7K6VF99	BICD2 protein (Fragment) OS=Notiomystis cincta OX=366454 GN=Bicd2 PE=3 SV=1	Notiomystis cincta	856
A0A7L4C8E4	BICD2 protein (Fragment) OS=Nyctiprogne leucopyga OX=382315 GN=Bicd2 PE=3 SV=1	Nyctiprogne leucopyga	858
A0A7L1AMV9	BICD2 protein (Fragment) OS=Gymnorhina tibicen OX=9132 GN=Bicd2 PE=3 SV=1	Gymnorhina tibicen	846
A0A7L4E502	BICD2 protein (Fragment) OS=Hirundo rustica OX=43150 GN=Bicd2 PE=3 SV=1	Hirundo rustica	853
A0A7K6FDA7	BICD2 protein (Fragment) OS=Daphoenositta chrysoptera OX=254528 GN=Bicd2 PE=3 SV=1	Daphoenositta chrysoptera	846
A0A7K5VV03	BICD2 protein (Fragment) OS=Platysteira castanea OX=1160851 GN=Bicd2 PE=3 SV=1	Platysteira castanea	846
A0A7L1ZSZ6	BICD2 protein (Fragment) OS=Leiothrix lutea OX=36275 GN=Bicd2 PE=3 SV=1	Leiothrix lutea	846
A0A7K7DWI4	BICD2 protein (Fragment) OS=Sylvia atricapilla OX=48155 GN=Bicd2 PE=3 SV=1	Sylvia atricapilla	846
A0A8B9GEJ5	BICD cargo adaptor 2 OS=Amazona collaria OX=241587 PE=3 SV=1	Amazona collaria	845
A0A7K5II75	BICD2 protein (Fragment) OS=Toxostoma redivivum OX=99882 GN=Bicd2 PE=3 SV=1	Toxostoma redivivum	858
A0A7K8ISW1	BICD2 protein (Fragment) OS=Chaetorhynchus papuensis OX=254446 GN=Bicd2 PE=3 SV=1	Chaetorhynchus papuensis	851
A0A7K5YHG2	BICD2 protein (Fragment) OS=Pterocles burchelli OX=2585816 GN=Bicd2 PE=3 SV=1	Pterocles burchelli	858
A0A8D2KYT5	BICD cargo adaptor 2 OS=Varanus komodoensis OX=61221 PE=3 SV=1	Varanus komodoensis	815
A0A7K7FVC7	BICD2 protein (Fragment) OS=Chionis minor OX=227182 GN=Bicd2 PE=3 SV=1	Chionis minor	858
A0A7K8HYA6	BICD2 protein (Fragment) OS=Aleadryas rufinucha OX=461220 GN=Bicd2 PE=3 SV=1	Aleadryas rufinucha	846
A0A7K8MF95	BICD2 protein (Fragment) OS=Ptilorrhoa leucosticta OX=449384 GN=Bicd2 PE=3 SV=1	Ptilorrhoa leucosticta	846
A0A7L0LJ07	BICD2 protein (Fragment) OS=Sylvietta virens OX=208069 GN=Bicd2 PE=3 SV=1	Sylvietta virens	854
A0A7K5MGI2	BICD2 protein (Fragment) OS=Cardinalis cardinalis OX=98964 GN=Bicd2 PE=3 SV=1	Cardinalis cardinalis	846
A0A7L0A0T9	BICD2 protein (Fragment) OS=Dicrurus megarhynchus OX=450177 GN=Bicd2 PE=3 SV=1	Dicrurus megarhynchus	846
A0A7L3EWS0	BICD2 protein (Fragment) OS=Chaetops frenatus OX=221966 GN=Bicd2 PE=3 SV=1	Chaetops frenatus	846
A0A7K4Q2D7	BICD2 protein (Fragment) OS=Melospiza melodia OX=44397 GN=Bicd2 PE=3 SV=1	Melospiza melodia	854
A0A852HPD1	BICD2 protein (Fragment) OS=Nicator chloris OX=237433 GN=Bicd2 PE=3 SV=1	Nicator chloris	845
A0A7L0QR49	BICD2 protein (Fragment) OS=Setophaga kirtlandii OX=298831 GN=Bicd2 PE=3 SV=1	Setophaga kirtlandii	858
A0A7K9W106	BICD2 protein (Fragment) OS=Rhipidura dahli OX=667186 GN=Bicd2 PE=3 SV=1	Rhipidura dahli	846
A0A7L3QWQ0	BICD2 protein (Fragment) OS=Cettia cetti OX=68486 GN=Bicd2 PE=3 SV=1	Cettia cetti	846
A0A7K7DGF4	BICD2 protein (Fragment) OS=Pheucticus melanocephalus OX=371919 GN=Bicd2 PE=3 SV=1	Pheucticus melanocephalus	846
A0A7K4U123	BICD2 protein (Fragment) OS=Sinosuthora webbiana OX=337173 GN=Bicd2 PE=3 SV=1	Sinosuthora webbiana	846
A0A6J3DJG0	Protein bicaudal D homolog 2 isoform X4 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	820
A0A6J3DFH3	Protein bicaudal D homolog 2 isoform X5 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	806
A0A7L0FS43	BICD2 protein (Fragment) OS=Corythaixoides concolor OX=103956 GN=Bicd2 PE=3 SV=1	Corythaixoides concolor	862
A0A8D0G9L7	BICD cargo adaptor 2 OS=Sphenodon punctatus OX=8508 GN=BICD2 PE=3 SV=1	Sphenodon punctatus	845
A0A7K6KN32	BICD2 protein (Fragment) OS=Oreocharis arfaki OX=979223 GN=Bicd2 PE=3 SV=1	Oreocharis arfaki	846
A0A7L1XPT5	BICD2 protein (Fragment) OS=Thinocorus orbignyianus OX=161742 GN=Bicd2 PE=3 SV=1	Thinocorus orbignyianus	842
A0A7L1URT4	BICD2 protein (Fragment) OS=Sitta europaea OX=50251 GN=Bicd2 PE=3 SV=1	Sitta europaea	847
A0A7L2E0D8	BICD2 protein (Fragment) OS=Anthoscopus minutus OX=156561 GN=Bicd2 PE=3 SV=1	Anthoscopus minutus	853
A0A7L0YFX4	BICD2 protein (Fragment) OS=Ploceus nigricollis OX=441696 GN=Bicd2 PE=3 SV=1	Ploceus nigricollis	858
A0A852NFP4	BICD2 protein (Fragment) OS=Pteruthius melanotis OX=357074 GN=Bicd2 PE=3 SV=1	Pteruthius melanotis	846
A0A7K8FFG7	BICD2 protein (Fragment) OS=Struthidea cinerea OX=181839 GN=Bicd2 PE=3 SV=1	Struthidea cinerea	846
A0A852BEH4	BICD2 protein (Fragment) OS=Chloropsis cyanopogon OX=1218682 GN=Bicd2 PE=3 SV=1	Chloropsis cyanopogon	846
A0A7K8SXD2	BICD2 protein (Fragment) OS=Nyctibius bracteatus OX=48426 GN=Bicd2 PE=3 SV=1	Nyctibius bracteatus	842
A0A7K7R5A7	BICD2 protein (Fragment) OS=Poecile atricapillus OX=48891 GN=Bicd2 PE=3 SV=1	Poecile atricapillus	846
A0A8D0E1Y2	BICD cargo adaptor 2 OS=Salvator merianae OX=96440 GN=BICD2 PE=3 SV=1	Salvator merianae	931
A0A7K9JIN2	BICD2 protein (Fragment) OS=Dicaeum eximium OX=667154 GN=Bicd2 PE=3 SV=1	Dicaeum eximium	846
A0A7K6LGY1	BICD2 protein (Fragment) OS=Falcunculus frontatus OX=254539 GN=Bicd2 PE=3 SV=1	Falcunculus frontatus	846
A0A7L1WHK4	BICD2 protein (Fragment) OS=Certhia brachydactyla OX=73330 GN=Bicd2 PE=3 SV=1	Certhia brachydactyla	846
A0A6J0IKC3	Protein bicaudal D homolog 2 isoform X3 OS=Lepidothrix coronata OX=321398 GN=BICD2 PE=3 SV=1	Lepidothrix coronata	800
A0A7L3V008	BICD2 protein (Fragment) OS=Molothrus ater OX=84834 GN=Bicd2 PE=3 SV=1	Molothrus ater	846
A0A7K4VNM5	BICD2 protein (Fragment) OS=Emberiza fucata OX=337179 GN=Bicd2 PE=3 SV=1	Emberiza fucata	846
A0A7K9CBG0	BICD2 protein (Fragment) OS=Psilopogon haemacephalus OX=2585815 GN=Bicd2 PE=3 SV=1	Psilopogon haemacephalus	856
A0A7K4KFM5	BICD2 protein (Fragment) OS=Crypturellus soui OX=458187 GN=Bicd2 PE=3 SV=1	Crypturellus soui	846
A0A7K5GTS5	BICD2 protein (Fragment) OS=Chunga burmeisteri OX=1352770 GN=Bicd2 PE=3 SV=1	Chunga burmeisteri	858
A0A7K7LRJ1	BICD2 protein (Fragment) OS=Brachypodius atriceps OX=182895 GN=Bicd2 PE=3 SV=1	Brachypodius atriceps	850
A0A852J8I7	BICD2 protein (Fragment) OS=Tricholaema leucomelas OX=240729 GN=Bicd2 PE=3 SV=1	Tricholaema leucomelas	856
A0A8J4NNC7	BICD2 protein (Fragment) OS=Eudyptula minor OX=37083 GN=FQV19_0010223 PE=3 SV=1	Eudyptula minor	842
A0A7K7CM46	BICD2 protein (Fragment) OS=Aphelocoma coerulescens OX=39617 GN=Bicd2 PE=3 SV=1	Aphelocoma coerulescens	846
A0A7K5T7J9	BICD2 protein (Fragment) OS=Urocynchramus pylzowi OX=571890 GN=Bicd2 PE=3 SV=1	Urocynchramus pylzowi	853
A0A850VE26	BICD2 protein (Fragment) OS=Chloropsis hardwickii OX=667144 GN=Bicd2 PE=3 SV=1	Chloropsis hardwickii	846
A0A6J0UFN5	Protein bicaudal D homolog 2 isoform X3 OS=Pogona vitticeps OX=103695 GN=BICD2 PE=3 SV=1	Pogona vitticeps	799
A0A7K4LVL8	BICD2 protein (Fragment) OS=Crypturellus undulatus OX=48396 GN=Bicd2 PE=3 SV=1	Crypturellus undulatus	846
A0A7L3TDC1	BICD2 protein (Fragment) OS=Rissa tridactyla OX=75485 GN=Bicd2 PE=3 SV=1	Rissa tridactyla	839
A0A7L0VHQ4	BICD2 protein (Fragment) OS=Leptocoma aspasia OX=2585812 GN=Bicd2 PE=3 SV=1	Leptocoma aspasia	846
A0A7K8SBI6	BICD2 protein (Fragment) OS=Rhodinocichla rosea OX=58203 GN=Bicd2 PE=3 SV=1	Rhodinocichla rosea	832
A0A7K5R1R9	BICD2 protein (Fragment) OS=Prunella himalayana OX=670356 GN=Bicd2 PE=3 SV=1	Prunella himalayana	853
A0A7L0EJJ8	BICD2 protein (Fragment) OS=Trogon melanurus OX=56311 GN=Bicd2 PE=3 SV=1	Trogon melanurus	846
A0A493SYI2	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=1	Anas platyrhynchos platyrhynchos	848
A0A7L2NJC0	BICD2 protein (Fragment) OS=Pycnonotus jocosus OX=182897 GN=Bicd2 PE=3 SV=1	Pycnonotus jocosus	846
A0A7K8CWC7	BICD2 protein (Fragment) OS=Eulacestoma nigropectus OX=461239 GN=Bicd2 PE=3 SV=1	Eulacestoma nigropectus	846
A0A7K6XZZ4	BICD2 protein (Fragment) OS=Promerops cafer OX=254652 GN=Bicd2 PE=3 SV=1	Promerops cafer	846
