Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
147	TR	A0A6P6IGI7	Protein bicaudal D homolog 2 isoform X1 OS=Puma concolor OX=9696 GN=BICD2 PE=3 SV=1	Puma concolor	836	3632	90.4	93.1	0.0
148	TR	A0A8B9XG46	BICD cargo adaptor 2 OS=Bos mutus grunniens OX=30521 GN=BICD2 PE=3 SV=1	Bos mutus grunniens	836	3631	90.3	92.6	0.0
149	TR	A0A4W2D949	BICD cargo adaptor 2 OS=Bos indicus x Bos taurus OX=30522 GN=BICD2 PE=3 SV=1	Bos indicus x Bos taurus	836	3631	90.3	92.6	0.0
150	TR	A0A6J1XWU0	Protein bicaudal D homolog 2 isoform X5 OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	805	3629	90.4	93.0	0.0
151	TR	A0A485PMK2	Protein bicaudal d homolog 2 OS=Lynx pardinus OX=191816 GN=LYPA_23C007624 PE=3 SV=1	Lynx pardinus	805	3628	90.4	93.0	0.0
152	TR	A0A8C6FKH2	BICD cargo adaptor 2 OS=Moschus moschiferus OX=68415 GN=BICD2 PE=3 SV=1	Moschus moschiferus	805	3626	90.2	92.8	0.0
153	TR	A0A8C8XYN9	BICD cargo adaptor 2 OS=Panthera leo OX=9689 GN=BICD2 PE=3 SV=1	Panthera leo	805	3626	90.3	92.8	0.0
154	TR	L5JVR2	Protein bicaudal D like protein 2 OS=Pteropus alecto OX=9402 GN=PAL_GLEAN10003497 PE=3 SV=1	Pteropus alecto	848	3625	89.8	92.8	0.0
155	TR	A0A6J1XX77	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	1268	3625	90.4	93.0	0.0
156	TR	A0A6J1XXT5	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	961	3625	90.4	93.0	0.0
157	TR	A0A6J1XWW5	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	949	3625	90.4	93.0	0.0
158	TR	A0A6J1XX80	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	1101	3625	90.4	93.0	0.0
159	TR	A0A2Y9HK95	Protein bicaudal D homolog 2 isoform X2 OS=Neomonachus schauinslandi OX=29088 GN=BICD2 PE=3 SV=2	Neomonachus schauinslandi	800	3624	90.4	92.7	0.0
160	TR	A0A6P3R8Z7	Protein bicaudal D homolog 2 isoform X5 OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	805	3623	89.9	92.8	0.0
161	TR	A0A8C8Y0B0	inositol-pentakisphosphate 2-kinase OS=Panthera leo OX=9689 GN=BICD2 PE=3 SV=1	Panthera leo	1268	3622	90.3	92.8	0.0
162	TR	A0A2Y9HKH9	Protein bicaudal D homolog 2 isoform X1 OS=Neomonachus schauinslandi OX=29088 GN=BICD2 PE=3 SV=2	Neomonachus schauinslandi	831	3621	90.3	92.7	0.0
163	TR	A0A6P6BTP4	inositol-pentakisphosphate 2-kinase OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	1268	3619	89.9	92.8	0.0
164	TR	M3WRZ8	BICD cargo adaptor 2 OS=Felis catus OX=9685 GN=BICD2 PE=3 SV=3	Felis catus	804	3618	90.4	93.0	0.0
165	TR	A0A5F5XLE2	inositol-pentakisphosphate 2-kinase OS=Felis catus OX=9685 GN=BICD2 PE=3 SV=1	Felis catus	1267	3614	90.4	93.0	0.0
166	TR	L8I9V0	Protein bicaudal D-like protein 2 OS=Bos mutus OX=72004 GN=M91_09020 PE=3 SV=1	Bos mutus	843	3613	89.5	91.8	0.0
167	TR	A0A6I9IDL9	Protein bicaudal D homolog 2 isoform X1 OS=Vicugna pacos OX=30538 GN=BICD2 PE=3 SV=1	Vicugna pacos	827	3612	90.0	92.5	0.0
168	TR	A0A671EW61	BICD cargo adaptor 2 OS=Rhinolophus ferrumequinum OX=59479 GN=BICD2 PE=3 SV=1	Rhinolophus ferrumequinum	805	3612	89.6	92.8	0.0
169	TR	A0A6J0APU0	Protein bicaudal D homolog 2 isoform X2 OS=Vicugna pacos OX=30538 GN=BICD2 PE=3 SV=1	Vicugna pacos	796	3611	90.2	92.5	0.0
170	TR	A0A671EQR9	inositol-pentakisphosphate 2-kinase OS=Rhinolophus ferrumequinum OX=59479 GN=BICD2 PE=3 SV=1	Rhinolophus ferrumequinum	1268	3608	89.6	92.8	0.0
171	TR	A0A671ERL3	inositol-pentakisphosphate 2-kinase OS=Rhinolophus ferrumequinum OX=59479 GN=BICD2 PE=3 SV=1	Rhinolophus ferrumequinum	1217	3608	89.6	92.8	0.0
172	TR	A0A7J8IGG8	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	804	3607	89.8	92.8	0.0
173	TR	A0A7J8IFC3	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	835	3604	89.7	92.8	0.0
174	TR	A0A7J8BK37	BICD cargo adaptor 2 OS=Molossus molossus OX=27622 GN=HJG59_001484 PE=3 SV=1	Molossus molossus	801	3597	89.4	92.6	0.0
175	TR	A0A7J8BJH8	BICD cargo adaptor 2 OS=Molossus molossus OX=27622 GN=HJG59_001484 PE=3 SV=1	Molossus molossus	832	3594	89.3	92.6	0.0
176	TR	A0A8B7QC56	Protein bicaudal D homolog 2 isoform X3 OS=Hipposideros armiger OX=186990 GN=LOC109375243 PE=3 SV=1	Hipposideros armiger	805	3591	89.2	92.4	0.0
177	TR	A0A1S3WJ24	Protein bicaudal D homolog 2 isoform X1 OS=Erinaceus europaeus OX=9365 GN=BICD2 PE=3 SV=1	Erinaceus europaeus	796	3589	89.7	92.0	0.0
178	TR	A0A8B7QBC3	inositol-pentakisphosphate 2-kinase OS=Hipposideros armiger OX=186990 GN=LOC109375243 PE=3 SV=1	Hipposideros armiger	1268	3587	89.2	92.3	0.0
179	TR	A0A1S3A4J2	Protein bicaudal D homolog 2 isoform X2 OS=Erinaceus europaeus OX=9365 GN=BICD2 PE=3 SV=1	Erinaceus europaeus	827	3586	89.6	92.0	0.0
180	TR	A0A7J7QV05	BICD cargo adaptor 2 OS=Myotis myotis OX=51298 GN=mMyoMyo1_001472 PE=3 SV=1	Myotis myotis	801	3581	89.2	92.5	0.0
181	TR	A0A7J7QVB6	BICD cargo adaptor 2 OS=Myotis myotis OX=51298 GN=mMyoMyo1_001472 PE=3 SV=1	Myotis myotis	832	3578	89.1	92.5	0.0
182	TR	A0A5E4BXM4	Uncharacterized protein OS=Marmota monax OX=9995 GN=MONAX_5E033124 PE=3 SV=1	Marmota monax	753	3575	96.0	97.2	0.0
183	TR	A0A673UPS6	BICD cargo adaptor 2 OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	797	3569	89.0	92.1	0.0
184	TR	A0A673UG52	BICD cargo adaptor 2 OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	821	3565	88.9	92.1	0.0
185	TR	A0A673UNP4	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	1306	3565	88.9	92.1	0.0
186	TR	A0A673UPH9	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	887	3565	88.9	92.1	0.0
187	TR	A0A673UFH3	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	1260	3565	88.9	92.1	0.0
188	TR	A0A7J7RT00	BICD cargo adaptor 2 OS=Pipistrellus kuhlii OX=59472 GN=mPipKuh1_001454 PE=3 SV=1	Pipistrellus kuhlii	801	3558	88.5	92.1	0.0
189	TR	A0A7J7RSZ1	BICD cargo adaptor 2 OS=Pipistrellus kuhlii OX=59472 GN=mPipKuh1_001454 PE=3 SV=1	Pipistrellus kuhlii	832	3555	88.3	92.1	0.0
190	TR	A0A6J2NA55	Protein bicaudal D homolog 2 isoform X5 OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	801	3549	88.5	92.2	0.0
191	TR	A0A7E6D5K6	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1164	3545	88.5	92.2	0.0
192	TR	A0A7E6D4Z3	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1086	3545	88.5	92.2	0.0
193	TR	A0A7E6D7Q1	inositol-pentakisphosphate 2-kinase OS=Phyllostomus discolor OX=89673 GN=LOC114513564 PE=3 SV=1	Phyllostomus discolor	1264	3545	88.5	92.2	0.0
194	TR	A0A3Q0DPP9	Protein bicaudal D homolog 2 OS=Carlito syrichta OX=1868482 GN=BICD2 PE=3 SV=1	Carlito syrichta	880	3534	95.4	96.6	0.0
195	TR	F7DPZ1	BICD cargo adaptor 2 OS=Equus caballus OX=9796 GN=BICD2 PE=3 SV=3	Equus caballus	786	3534	88.8	90.9	0.0
196	TR	D3Z390	BICD cargo adaptor 2 OS=Mus musculus OX=10090 GN=Bicd2 PE=1 SV=2	Mus musculus	746	3502	94.3	96.0	0.0
197	TR	A0A7N4PV29	BICD cargo adaptor 2 OS=Sarcophilus harrisii OX=9305 GN=BICD2 PE=3 SV=1	Sarcophilus harrisii	848	3485	85.0	91.8	0.0
198	TR	A0A4X2L4E7	BICD cargo adaptor 2 OS=Vombatus ursinus OX=29139 GN=BICD2 PE=3 SV=1	Vombatus ursinus	818	3477	84.9	91.3	0.0
199	TR	G3HP33	Protein bicaudal D-like 2 OS=Cricetulus griseus OX=10029 GN=I79_012537 PE=3 SV=1	Cricetulus griseus	783	3470	93.1	95.3	0.0
200	TR	A0A6P5IN14	LOW QUALITY PROTEIN: protein bicaudal D homolog 2-like OS=Phascolarctos cinereus OX=38626 GN=LOC110192921 PE=3 SV=1	Phascolarctos cinereus	817	3466	84.7	91.3	0.0
201	TR	A0A091CUH6	Protein bicaudal D like protein 2 OS=Fukomys damarensis OX=885580 GN=H920_16436 PE=3 SV=1	Fukomys damarensis	868	3465	92.3	94.0	0.0
202	TR	G5BQK3	Bicaudal D-like protein 2 OS=Heterocephalus glaber OX=10181 GN=GW7_11601 PE=3 SV=1	Heterocephalus glaber	798	3462	91.2	93.5	0.0
203	TR	F6PIY7	BICD cargo adaptor 2 OS=Monodelphis domestica OX=13616 GN=BICD2 PE=3 SV=2	Monodelphis domestica	818	3462	84.3	91.5	0.0
204	TR	G3WYI6	BICD cargo adaptor 2 OS=Sarcophilus harrisii OX=9305 GN=BICD2 PE=3 SV=2	Sarcophilus harrisii	846	3449	82.3	88.8	0.0
205	TR	F6X7P3	BICD cargo adaptor 2 OS=Ornithorhynchus anatinus OX=9258 GN=BICD2 PE=3 SV=2	Ornithorhynchus anatinus	816	3441	83.1	92.0	0.0
206	TR	A0A1A6FV85	BICD cargo adaptor 2 OS=Neotoma lepida OX=56216 GN=A6R68_10999 PE=3 SV=1	Neotoma lepida	813	3423	91.9	93.6	0.0
207	TR	A0A8C8RKW2	BICD cargo adaptor 2 OS=Pelusios castaneus OX=367368 PE=3 SV=1	Pelusios castaneus	815	3395	82.3	91.2	0.0
208	TR	A0A151MZ17	Bicaudal D-like protein 1 OS=Alligator mississippiensis OX=8496 GN=BICD1 PE=3 SV=1	Alligator mississippiensis	815	3393	82.3	90.9	0.0
209	TR	A0A663EVD8	BICD cargo adaptor 2 OS=Aquila chrysaetos chrysaetos OX=223781 GN=BICD2 PE=3 SV=1	Aquila chrysaetos chrysaetos	815	3393	82.7	90.8	0.0
210	TR	A0A8C3ST17	BICD cargo adaptor 2 OS=Chelydra serpentina OX=8475 PE=3 SV=1	Chelydra serpentina	815	3392	82.3	90.9	0.0
211	TR	A0A8C3N4C7	Uncharacterized protein OS=Geospiza parvula OX=87175 GN=BICD2 PE=3 SV=1	Geospiza parvula	815	3391	82.4	90.9	0.0
212	TR	A0A8K1G1I3	BICD2 protein OS=Zosterops borbonicus OX=364589 GN=HGM15179_017107 PE=3 SV=1	Zosterops borbonicus	814	3391	82.5	91.0	0.0
213	TR	A0A7L1K652	BICD2 protein (Fragment) OS=Rynchops niger OX=227184 GN=Bicd2 PE=3 SV=1	Rynchops niger	845	3391	82.5	90.8	0.0
214	TR	A0A8C4YAE6	BICD cargo adaptor 2 OS=Gopherus evgoodei OX=1825980 GN=BICD2 PE=3 SV=1	Gopherus evgoodei	815	3391	82.1	91.0	0.0
215	TR	A0A674JIK0	BICD cargo adaptor 2 OS=Terrapene carolina triunguis OX=2587831 GN=BICD2 PE=3 SV=1	Terrapene carolina triunguis	815	3390	82.1	91.0	0.0
216	TR	A0A8C3RIT1	BICD cargo adaptor 2 OS=Cyanoderma ruficeps OX=181631 PE=3 SV=1	Cyanoderma ruficeps	815	3390	82.5	90.8	0.0
217	TR	A0A8C3IEZ0	BICD cargo adaptor 2 OS=Chrysemys picta bellii OX=8478 GN=BICD2 PE=3 SV=1	Chrysemys picta bellii	815	3390	82.1	91.0	0.0
218	TR	A0A9D3WUX9	BICD2 protein OS=Mauremys mutica OX=74926 GN=KIL84_002773 PE=3 SV=1	Mauremys mutica	844	3390	82.1	91.0	0.0
219	TR	A0A6J3DLI3	Protein bicaudal D homolog 2 isoform X3 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	821	3390	82.7	91.1	0.0
220	TR	A0A4D9EYK1	Guanylyl cyclase-activating protein 3 OS=Platysternon megacephalum OX=55544 GN=DR999_PMT04614 PE=3 SV=1	Platysternon megacephalum	844	3389	82.1	91.0	0.0
221	TR	A0A8C3U321	BICD cargo adaptor 2 OS=Catharus ustulatus OX=91951 PE=3 SV=1	Catharus ustulatus	845	3389	82.3	90.9	0.0
222	TR	A0A1V4JVR6	Bicaudal D-like protein 2 OS=Patagioenas fasciata monilis OX=372326 GN=BICD2 PE=3 SV=1	Patagioenas fasciata monilis	815	3389	82.5	90.7	0.0
223	TR	A0A7K8Z9X9	BICD2 protein (Fragment) OS=Sakesphorus luctuosus OX=419690 GN=Bicd2 PE=3 SV=1	Sakesphorus luctuosus	852	3388	82.2	90.3	0.0
224	TR	A0A6J3DL13	Protein bicaudal D homolog 2 isoform X2 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	835	3388	82.5	91.1	0.0
225	TR	A0A8C3IC08	BICD cargo adaptor 2 OS=Chrysemys picta bellii OX=8478 GN=BICD2 PE=3 SV=1	Chrysemys picta bellii	903	3387	81.9	91.0	0.0
226	TR	A0A6J3DJF5	Protein bicaudal D homolog 2 isoform X1 OS=Aythya fuligula OX=219594 GN=BICD2 PE=3 SV=1	Aythya fuligula	851	3387	82.5	91.1	0.0
227	TR	A0A7K6SQU3	BICD2 protein (Fragment) OS=Caloenas nicobarica OX=187106 GN=Bicd2 PE=3 SV=1	Caloenas nicobarica	845	3386	82.5	90.5	0.0
228	TR	A0A7M4G3N9	BICD cargo adaptor 2 OS=Crocodylus porosus OX=8502 GN=BICD2 PE=3 SV=1	Crocodylus porosus	815	3386	82.1	90.7	0.0
229	TR	A0A7K8ZD24	BICD2 protein (Fragment) OS=Grallaria varia OX=117165 GN=Bicd2 PE=3 SV=1	Grallaria varia	852	3385	82.2	90.3	0.0
230	TR	A0A2I0U2J5	BICD2 protein OS=Limosa lapponica baueri OX=1758121 GN=llap_9446 PE=3 SV=1	Limosa lapponica baueri	845	3385	82.4	90.7	0.0
231	TR	A0A6J0IIG9	Protein bicaudal D homolog 2 isoform X2 OS=Lepidothrix coronata OX=321398 GN=BICD2 PE=3 SV=1	Lepidothrix coronata	815	3385	82.3	91.0	0.0
232	TR	K7F5V1	BICD cargo adaptor 2 OS=Pelodiscus sinensis OX=13735 GN=BICD2 PE=3 SV=1	Pelodiscus sinensis	877	3385	81.8	90.9	0.0
233	TR	A0A8D0G2S9	BICD cargo adaptor 2 OS=Strix occidentalis caurina OX=311401 PE=3 SV=1	Strix occidentalis caurina	845	3384	82.4	90.5	0.0
234	TR	A0A6J0IIJ8	Protein bicaudal D homolog 2 isoform X1 OS=Lepidothrix coronata OX=321398 GN=BICD2 PE=3 SV=1	Lepidothrix coronata	825	3383	82.2	91.0	0.0
235	TR	A0A8B9VMK2	BICD cargo adaptor 2 OS=Anas zonorhyncha OX=75864 PE=3 SV=1	Anas zonorhyncha	821	3383	82.7	91.0	0.0
236	TR	A0A8C3D119	BICD cargo adaptor 2 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	Cairina moschata domestica	821	3383	82.7	91.0	0.0
237	TR	A0A7M4FQT5	BICD cargo adaptor 2 OS=Crocodylus porosus OX=8502 GN=BICD2 PE=3 SV=1	Crocodylus porosus	845	3383	81.9	90.7	0.0
238	TR	A0A6J0UFQ7	Protein bicaudal D homolog 2 isoform X2 OS=Pogona vitticeps OX=103695 GN=BICD2 PE=3 SV=1	Pogona vitticeps	814	3383	82.2	90.7	0.0
239	TR	A0A8C0IWM8	BICD cargo adaptor 2 OS=Chelonoidis abingdonii OX=106734 GN=BICD2 PE=3 SV=1	Chelonoidis abingdonii	844	3382	81.9	90.9	0.0
240	TR	A0A672U0S3	BICD cargo adaptor 2 OS=Strigops habroptila OX=2489341 GN=BICD2 PE=3 SV=1	Strigops habroptila	845	3382	82.2	90.7	0.0
241	TR	A0A8C3J436	BICD cargo adaptor 2 OS=Calidris pygmaea OX=425635 PE=3 SV=1	Calidris pygmaea	815	3381	82.2	90.5	0.0
242	TR	A0A8B9VNX5	BICD cargo adaptor 2 OS=Anas zonorhyncha OX=75864 PE=3 SV=1	Anas zonorhyncha	835	3381	82.5	91.0	0.0
243	TR	A0A8C3D6V2	BICD cargo adaptor 2 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	Cairina moschata domestica	835	3381	82.5	91.0	0.0
244	TR	A0A8B9Q621	BICD cargo adaptor 2 OS=Apteryx owenii OX=8824 PE=3 SV=1	Apteryx owenii	815	3381	82.2	90.8	0.0
245	TR	A0A8B9BMN7	BICD cargo adaptor 2 OS=Anser brachyrhynchus OX=132585 GN=BICD2 PE=3 SV=1	Anser brachyrhynchus	822	3380	82.8	91.0	0.0
246	TR	U3J6N0	BICD cargo adaptor 2 OS=Anas platyrhynchos platyrhynchos OX=8840 GN=BICD2 PE=3 SV=2	Anas platyrhynchos platyrhynchos	851	3380	82.5	91.0	0.0
247	TR	A0A8C3D227	BICD cargo adaptor 2 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	Cairina moschata domestica	851	3380	82.5	91.0	0.0
248	TR	A0A803VM33	BICD cargo adaptor 2 OS=Ficedula albicollis OX=59894 GN=BICD2 PE=3 SV=1	Ficedula albicollis	815	3380	82.3	90.7	0.0
249	TR	A0A6J0UH69	Protein bicaudal D homolog 2 isoform X1 OS=Pogona vitticeps OX=103695 GN=BICD2 PE=3 SV=1	Pogona vitticeps	844	3380	82.0	90.7	0.0
250	TR	A0A8C5IE76	BICD cargo adaptor 2 OS=Junco hyemalis OX=40217 PE=3 SV=1	Junco hyemalis	815	3379	82.3	90.8	0.0
251	TR	A0A8B9E2M7	BICD cargo adaptor 2 OS=Anser cygnoides OX=8845 PE=3 SV=1	Anser cygnoides	836	3378	82.7	91.0	0.0
252	TR	A0A8B9BLX6	BICD cargo adaptor 2 OS=Anser brachyrhynchus OX=132585 GN=BICD2 PE=3 SV=1	Anser brachyrhynchus	836	3378	82.7	91.0	0.0
253	TR	A0A669P177	BICD cargo adaptor 2 OS=Phasianus colchicus OX=9054 PE=3 SV=1	Phasianus colchicus	815	3377	82.4	90.7	0.0
254	TR	A0A8C9N7H8	BICD cargo adaptor 2 OS=Serinus canaria OX=9135 GN=BICD2 PE=3 SV=1	Serinus canaria	815	3377	82.2	90.8	0.0
255	TR	A0A8C4UZM6	BICD cargo adaptor 2 OS=Falco tinnunculus OX=100819 PE=3 SV=1	Falco tinnunculus	815	3377	82.2	90.5	0.0
256	TR	A0A8C5TDD0	BICD cargo adaptor 2 OS=Malurus cyaneus samueli OX=2593467 PE=3 SV=1	Malurus cyaneus samueli	845	3376	82.3	90.5	0.0
257	TR	A0A674H6H7	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	815	3376	82.0	90.8	0.0
258	TR	A0A674GR64	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=1	Taeniopygia guttata	816	3376	82.0	90.8	0.0
259	TR	H0YZD6	BICD cargo adaptor 2 OS=Taeniopygia guttata OX=59729 GN=BICD2 PE=3 SV=2	Taeniopygia guttata	828	3376	82.0	90.8	0.0
260	TR	A0A7K8XDJ3	BICD2 protein (Fragment) OS=Eubucco bourcierii OX=91767 GN=Bicd2 PE=3 SV=1	Eubucco bourcierii	845	3376	82.1	90.5	0.0
261	TR	U3JX64	Uncharacterized protein OS=Ficedula albicollis OX=59894 GN=BICD2 PE=3 SV=2	Ficedula albicollis	829	3376	82.3	90.7	0.0
262	TR	A0A4U1EM66	BICD cargo adaptor 2 OS=Monodon monoceros OX=40151 GN=EI555_011592 PE=3 SV=1	Monodon monoceros	943	3376	80.6	83.4	0.0
263	TR	A0A8C6ZAT1	BICD cargo adaptor 2 OS=Nothoprocta perdicaria OX=30464 GN=BICD2 PE=3 SV=1	Nothoprocta perdicaria	845	3375	81.9	90.8	0.0
264	TR	A0A7K6A0L3	BICD2 protein (Fragment) OS=Onychorhynchus coronatus OX=360224 GN=Bicd2 PE=3 SV=1	Onychorhynchus coronatus	854	3375	81.7	90.0	0.0
265	TR	A0A7L4J7P1	BICD2 protein (Fragment) OS=Pomatorhinus ruficollis OX=932028 GN=Bicd2 PE=3 SV=1	Pomatorhinus ruficollis	852	3375	81.9	90.3	0.0
266	TR	A0A7L4H7X7	BICD2 protein (Fragment) OS=Podargus strigoides OX=8905 GN=Bicd2 PE=3 SV=1	Podargus strigoides	845	3374	81.9	90.8	0.0
267	TR	A0A669P294	BICD cargo adaptor 2 OS=Phasianus colchicus OX=9054 PE=3 SV=1	Phasianus colchicus	845	3374	82.3	90.7	0.0
268	TR	A0A8C9NA65	BICD cargo adaptor 2 OS=Serinus canaria OX=9135 GN=BICD2 PE=3 SV=1	Serinus canaria	845	3374	82.1	90.8	0.0
269	TR	A0A7K7KV27	BICD2 protein (Fragment) OS=Asarcornis scutulata OX=75869 GN=Bicd2 PE=3 SV=1	Asarcornis scutulata	847	3374	82.3	90.9	0.0
270	TR	A0A8C4XT49	BICD cargo adaptor 2 OS=Falco tinnunculus OX=100819 PE=3 SV=1	Falco tinnunculus	845	3374	82.1	90.5	0.0
271	TR	A0A8C9F6U5	BICD2 protein OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	845	3373	82.3	90.5	0.0
272	TR	A0A670HM11	BICD cargo adaptor 2 OS=Podarcis muralis OX=64176 GN=BICD2 PE=3 SV=1	Podarcis muralis	815	3373	82.1	90.4	0.0
273	TR	A0A669P4L6	BICD cargo adaptor 2 OS=Phasianus colchicus OX=9054 PE=3 SV=1	Phasianus colchicus	837	3373	82.4	90.7	0.0
274	TR	A0A218UH06	Protein bicaudal D 2 OS=Lonchura striata domestica OX=299123 GN=BICD2 PE=3 SV=1	Lonchura striata domestica	815	3373	82.1	90.7	0.0
275	TR	A0A7K6MEE3	BICD2 protein (Fragment) OS=Panurus biarmicus OX=181101 GN=Bicd2 PE=3 SV=1	Panurus biarmicus	859	3373	81.2	89.5	0.0
276	TR	A0A7K9QFT7	BICD2 protein (Fragment) OS=Irena cyanogastra OX=175120 GN=Bicd2 PE=3 SV=1	Irena cyanogastra	849	3373	81.9	90.6	0.0
277	TR	A0A7K4WUJ7	BICD2 protein (Fragment) OS=Tachuris rubrigastra OX=495162 GN=Bicd2 PE=3 SV=1	Tachuris rubrigastra	853	3372	81.6	90.2	0.0
278	TR	A0A7L0ZJL3	BICD2 protein (Fragment) OS=Oxyruncus cristatus OX=114331 GN=Bicd2 PE=3 SV=1	Oxyruncus cristatus	852	3372	81.7	90.3	0.0
279	TR	A0A852CXI2	BICD2 protein (Fragment) OS=Passerina amoena OX=142471 GN=Bicd2 PE=3 SV=1	Passerina amoena	853	3371	81.6	90.0	0.0
280	TR	A0A851KUE2	BICD2 protein (Fragment) OS=Vidua chalybeata OX=81927 GN=Bicd2 PE=3 SV=1	Vidua chalybeata	853	3371	81.5	90.2	0.0
281	TR	A0A850YKB1	BICD2 protein (Fragment) OS=Aegithalos caudatus OX=73327 GN=Bicd2 PE=3 SV=1	Aegithalos caudatus	853	3370	81.6	90.2	0.0
282	TR	A0A670HPE4	BICD cargo adaptor 2 OS=Podarcis muralis OX=64176 GN=BICD2 PE=3 SV=1	Podarcis muralis	845	3370	81.9	90.4	0.0
283	TR	A0A7L2LKQ8	BICD2 protein (Fragment) OS=Hippolais icterina OX=68497 GN=Bicd2 PE=3 SV=1	Hippolais icterina	854	3370	81.5	89.8	0.0
284	TR	E1C2N3	BICD cargo adaptor 2 OS=Gallus gallus OX=9031 GN=BICD2 PE=1 SV=4	Gallus gallus	829	3369	82.1	90.7	0.0
285	TR	A0A7L2ADZ8	BICD2 protein (Fragment) OS=Heliornis fulica OX=54369 GN=Bicd2 PE=3 SV=1	Heliornis fulica	852	3368	81.7	90.0	0.0
286	TR	A0A7K5BAV4	BICD2 protein (Fragment) OS=Furnarius figulus OX=463165 GN=Bicd2 PE=3 SV=1	Furnarius figulus	861	3368	81.2	89.1	0.0
287	TR	A0A7K7SUE5	BICD2 protein (Fragment) OS=Sapayoa aenigma OX=239371 GN=Bicd2 PE=3 SV=1	Sapayoa aenigma	852	3367	81.7	89.9	0.0
288	TR	A0A7L1PWC6	BICD2 protein (Fragment) OS=Oriolus oriolus OX=181099 GN=Bicd2 PE=3 SV=1	Oriolus oriolus	846	3367	82.1	90.6	0.0
289	TR	A0A7K9SHM2	BICD2 protein (Fragment) OS=Galbula dea OX=1109041 GN=Bicd2 PE=3 SV=1	Galbula dea	847	3367	81.9	90.3	0.0
290	TR	A0A852KMN6	BICD2 protein (Fragment) OS=Urocolius indicus OX=458196 GN=Bicd2 PE=3 SV=1	Urocolius indicus	846	3367	81.8	90.3	0.0
291	TR	A0A852A9R3	BICD2 protein (Fragment) OS=Calcarius ornatus OX=198940 GN=Bicd2 PE=3 SV=1	Calcarius ornatus	853	3367	81.5	90.0	0.0
292	TR	A0A7K5KYZ8	BICD2 protein (Fragment) OS=Vireo altiloquus OX=34956 GN=Bicd2 PE=3 SV=1	Vireo altiloquus	846	3366	82.2	90.6	0.0
293	TR	A0A7L0J9S1	BICD2 protein (Fragment) OS=Piprites chloris OX=114369 GN=Bicd2 PE=3 SV=1	Piprites chloris	852	3366	81.5	90.0	0.0
294	TR	A0A850WZR5	BICD2 protein (Fragment) OS=Piaya cayana OX=33601 GN=Bicd2 PE=3 SV=1	Piaya cayana	845	3366	81.8	90.4	0.0
295	TR	A0A8C2TLV2	BICD cargo adaptor 2 OS=Coturnix japonica OX=93934 GN=BICD2 PE=3 SV=1	Coturnix japonica	815	3365	82.1	90.5	0.0
296	TR	A0A7K9P6S7	BICD2 protein (Fragment) OS=Pachycephala philippinensis OX=449367 GN=Bicd2 PE=3 SV=1	Pachycephala philippinensis	846	3365	82.2	90.4	0.0
